entry	alignmentStart	alignmentEnd	envelopeStart	envelopeEnd	hmmAacc	hmmName	type	hmmStart	hmmEend	hmmLength	bitScore	eValue	clan	entryName	geneSymbol	length
Q9NQX1	490	511	489	512	PF13894	zf-C2H2_4	Domain	2	23	24	19.9	4.3	CL0361	PRDM5_HUMAN	PRDM5	630
Q9NQX1	517	539	517	539	PF00096	zf-C2H2	Domain	1	23	23	25.3	0.063	CL0361	PRDM5_HUMAN	PRDM5	630
Q9NQX1	545	568	544	570	PF13912	zf-C2H2_6	Domain	2	25	27	17	19	CL0361	PRDM5_HUMAN	PRDM5	630
Q8IU60	12	94	11	94	PF05026	DCP2	Domain	2	84	84	102.2	6.6e-26	No_clan	DCP2_HUMAN	DCP2	420
Q8IU60	100	208	97	219	PF00293	NUDIX	Domain	5	119	135	51.6	3.8e-10	CL0261	DCP2_HUMAN	DCP2	420
Q8IZQ1	1432	1554	1392	1698	PF15787	DUF4704	Family	63	184	279	29.5	0.0019	No_clan	WDFY3_HUMAN	WDFY3	3526
Q8IZQ1	2601	2654	2588	2656	PF14844	PH_BEACH	Domain	44	98	100	44.5	5.8e-08	CL0266	WDFY3_HUMAN	WDFY3	3526
Q8IZQ1	2696	2976	2696	2976	PF02138	Beach	Family	1	272	272	419.4	2.6e-122	No_clan	WDFY3_HUMAN	WDFY3	3526
Q8IZQ1	3123	3155	3116	3155	PF00400	WD40	Repeat	7	37	37	16.1	69	CL0186	WDFY3_HUMAN	WDFY3	3526
Q8IZQ1	3206	3244	3203	3245	PF00400	WD40	Repeat	5	36	37	12.6	880	CL0186	WDFY3_HUMAN	WDFY3	3526
Q8IZQ1	3450	3514	3449	3515	PF01363	FYVE	Domain	2	68	69	64.2	3.9e-14	CL0390	WDFY3_HUMAN	WDFY3	3526
P63146	8	143	8	145	PF00179	UQ_con	Domain	1	138	140	180.5	5.5e-50	CL0208	UBE2B_HUMAN	UBE2B	152
Q7L0R7	380	421	378	421	PF13639	zf-RING_2	Domain	3	44	44	51.7	3.5e-10	CL0229	RNF44_HUMAN	RNF44	432
Q9H832	103	231	103	250	PF00179	UQ_con	Domain	1	120	140	102.1	8.6e-26	CL0208	UBE2Z_HUMAN	UBE2Z	354
Q9UKA1	8	138	7	138	PF01814	Hemerythrin	Domain	3	131	131	29.8	0.0035	No_clan	FBXL5_HUMAN	FBXL5	691
Q9UKA1	205	249	205	250	PF12937	F-box-like	Domain	1	45	47	55.1	2.3e-11	CL0271	FBXL5_HUMAN	FBXL5	691
Q96PQ7	212	316	210	317	PF00651	BTB	Domain	3	109	110	99	7.7e-25	CL0033	KLHL5_HUMAN	KLHL5	755
Q96PQ7	322	421	322	423	PF07707	BACK	Domain	1	100	103	112.5	4e-29	CL0033	KLHL5_HUMAN	KLHL5	755
Q96PQ7	467	501	467	501	PF01344	Kelch_1	Repeat	12	46	46	26.4	0.016	CL0186	KLHL5_HUMAN	KLHL5	755
Q96PQ7	503	548	503	548	PF01344	Kelch_1	Repeat	1	46	46	64.2	2.5e-14	CL0186	KLHL5_HUMAN	KLHL5	755
Q96PQ7	551	595	550	595	PF01344	Kelch_1	Repeat	2	46	46	45.1	2.5e-08	CL0186	KLHL5_HUMAN	KLHL5	755
Q96PQ7	597	642	597	642	PF01344	Kelch_1	Repeat	1	46	46	55.9	1e-11	CL0186	KLHL5_HUMAN	KLHL5	755
Q96PQ7	644	695	644	695	PF01344	Kelch_1	Repeat	1	46	46	45	2.6e-08	CL0186	KLHL5_HUMAN	KLHL5	755
Q96PQ7	700	741	697	741	PF01344	Kelch_1	Repeat	4	45	46	54.5	2.7e-11	CL0186	KLHL5_HUMAN	KLHL5	755
Q96T51	147	269	147	270	PF02759	RUN	Family	1	132	133	106.1	5.5e-27	No_clan	RUFY1_HUMAN	RUFY1	708
Q96T51	638	698	637	701	PF01363	FYVE	Domain	2	66	69	69	1.3e-15	CL0390	RUFY1_HUMAN	RUFY1	708
Q96AY2	269	439	256	439	PF02732	ERCC4	Domain	14	157	157	74.5	4.5e-17	CL0236	EME1_HUMAN	EME1	570
Q9BPX3	559	862	559	865	PF12719	Cnd3	Family	1	289	292	279.1	1.7e-79	CL0020	CND3_HUMAN	NCAPG	1015
O15335	22	48	22	50	PF01462	LRRNT	Family	1	25	28	30.9	0.00065	No_clan	CHAD_HUMAN	CHAD	359
O15335	75	134	75	135	PF13855	LRR_8	Repeat	1	60	61	66.6	5.2e-15	CL0022	CHAD_HUMAN	CHAD	359
O15335	148	207	147	207	PF13855	LRR_8	Repeat	2	61	61	49.5	1.2e-09	CL0022	CHAD_HUMAN	CHAD	359
O15335	245	300	244	301	PF13855	LRR_8	Repeat	2	59	61	27.5	0.0085	CL0022	CHAD_HUMAN	CHAD	359
P36551	151	453	151	453	PF01218	Coprogen_oxidas	Family	1	296	296	468.3	2.8e-137	No_clan	HEM6_HUMAN	CPOX	454
O43660	196	232	194	232	PF00400	WD40	Repeat	3	37	37	35	7.2e-05	CL0186	PLRG1_HUMAN	PLRG1	514
O43660	237	274	236	274	PF00400	WD40	Repeat	2	37	37	22.6	0.6	CL0186	PLRG1_HUMAN	PLRG1	514
O43660	279	316	278	316	PF00400	WD40	Repeat	2	37	37	26.1	0.049	CL0186	PLRG1_HUMAN	PLRG1	514
O43660	322	358	320	358	PF00400	WD40	Repeat	3	37	37	25	0.11	CL0186	PLRG1_HUMAN	PLRG1	514
O43660	404	440	403	440	PF00400	WD40	Repeat	2	37	37	18.6	11	CL0186	PLRG1_HUMAN	PLRG1	514
P26006	307	345	307	345	PF01839	FG-GAP	Repeat	1	37	37	40.2	1.1e-06	CL0186	ITA3_HUMAN	ITGA3	1051
P26006	462	916	462	916	PF08441	Integrin_alpha2	Family	1	467	467	316.9	1e-90	CL0159	ITA3_HUMAN	ITGA3	1051
Q92564	176	286	175	286	PF03556	Cullin_binding	Family	2	111	111	103	5.8e-26	No_clan	DCNL4_HUMAN	DCUN1D4	292
P50443	109	518	108	518	PF00916	Sulfate_transp	Family	2	381	381	443.1	3.1e-129	CL0062	S26A2_HUMAN	SLC26A2	739
P50443	569	715	569	715	PF01740	STAS	Domain	1	117	117	106.9	2e-27	CL0502	S26A2_HUMAN	SLC26A2	739
Q9H0N5	34	125	33	126	PF01329	Pterin_4a	Domain	2	86	87	106.9	2e-27	No_clan	PHS2_HUMAN	PCBD2	130
Q07812	63	158	63	158	PF00452	Bcl-2	Family	1	100	100	94.1	2.7e-23	CL0551	BAX_HUMAN	BAX	192
Q9BX46	13	80	13	80	PF14259	RRM_6	Domain	1	64	66	63.4	7.3e-14	CL0221	RBM24_HUMAN	RBM24	236
Q8N0V4	64	121	62	121	PF13855	LRR_8	Repeat	4	61	61	45.6	1.9e-08	CL0022	LGI2_HUMAN	LGI2	545
Q8N0V4	110	169	110	169	PF13855	LRR_8	Repeat	2	61	61	51.8	2.1e-10	CL0022	LGI2_HUMAN	LGI2	545
Q8N0V4	219	260	219	260	PF03736	EPTP	Repeat	1	44	44	36.4	1.7e-05	No_clan	LGI2_HUMAN	LGI2	545
Q8N0V4	266	306	265	306	PF03736	EPTP	Repeat	2	44	44	40.5	8.8e-07	No_clan	LGI2_HUMAN	LGI2	545
Q8N0V4	311	357	311	357	PF03736	EPTP	Repeat	1	44	44	51.8	2.5e-10	No_clan	LGI2_HUMAN	LGI2	545
Q8N0V4	360	402	360	402	PF03736	EPTP	Repeat	1	44	44	27.5	0.01	No_clan	LGI2_HUMAN	LGI2	545
Q8N0V4	407	449	407	449	PF03736	EPTP	Repeat	1	44	44	36.1	2.1e-05	No_clan	LGI2_HUMAN	LGI2	545
Q8N0V4	452	493	452	493	PF03736	EPTP	Repeat	1	44	44	43.2	1.3e-07	No_clan	LGI2_HUMAN	LGI2	545
P19883	95	116	95	116	PF09289	FOLN	Domain	1	22	22	29.8	0.0022	CL0001	FST_HUMAN	FST	344
P19883	122	164	122	164	PF07648	Kazal_2	Domain	1	42	42	50.5	7.4e-10	CL0005	FST_HUMAN	FST	344
P19883	196	239	196	239	PF07648	Kazal_2	Domain	1	42	42	45.7	2.4e-08	CL0005	FST_HUMAN	FST	344
P19883	274	316	274	316	PF07648	Kazal_2	Domain	1	42	42	43.8	9.3e-08	CL0005	FST_HUMAN	FST	344
Q7Z5Q5	448	853	447	854	PF00476	DNA_pol_A	Family	2	375	376	407.9	1.8e-118	No_clan	DPOLN_HUMAN	POLN	900
Q86UW6	442	575	442	576	PF13671	AAA_33	Domain	1	142	143	47.7	7.4e-09	CL0023	N4BP2_HUMAN	N4BP2	1770
Q86UW6	1619	1682	1619	1682	PF08590	DUF1771	Domain	1	64	64	68.2	2.6e-15	No_clan	N4BP2_HUMAN	N4BP2	1770
Q86UW6	1691	1753	1691	1768	PF01713	Smr	Family	1	55	79	38.4	5.4e-06	No_clan	N4BP2_HUMAN	N4BP2	1770
O43653	23	93	23	93	PF00021	UPAR_LY6	Domain	1	76	76	45	5.9e-08	CL0117	PSCA_HUMAN	PSCA	123
H0YAA8	69	132	69	133	PF11594	Med28	Family	1	65	134	65.4	2.3e-14	No_clan	H0YAA8_HUMAN	MED28	179
P02545	30	386	30	386	PF00038	Filament	Family	1	312	312	327.3	5.1e-94	No_clan	LMNA_HUMAN	LMNA	664
P02545	435	540	433	544	PF00932	LTD	Domain	3	99	104	47.7	6.1e-09	No_clan	LMNA_HUMAN	LMNA	664
Q8WUR7	63	132	62	133	PF02594	DUF167	Domain	2	75	77	88.9	8e-22	No_clan	CO040_HUMAN	C15orf40	153
P42285	143	287	141	292	PF00270	DEAD	Domain	3	169	175	62.2	2.3e-13	CL0023	SK2L2_HUMAN	SKIV2L2	1042
P42285	388	528	372	528	PF00271	Helicase_C	Family	16	105	105	29.8	0.0026	CL0023	SK2L2_HUMAN	SKIV2L2	1042
P42285	582	841	582	841	PF13234	rRNA_proc-arch	Domain	1	257	257	295.5	1.9e-84	No_clan	SK2L2_HUMAN	SKIV2L2	1042
P42285	868	1037	867	1037	PF08148	DSHCT	Domain	2	161	161	193.1	9.9e-54	No_clan	SK2L2_HUMAN	SKIV2L2	1042
O60245	255	298	238	299	PF00028	Cadherin	Family	52	92	93	30.6	0.0016	CL0159	PCDH7_HUMAN	PCDH7	1069
O60245	313	405	313	406	PF00028	Cadherin	Family	1	92	93	59.8	1.2e-12	CL0159	PCDH7_HUMAN	PCDH7	1069
O60245	430	525	429	526	PF00028	Cadherin	Family	3	92	93	43.5	1.4e-07	CL0159	PCDH7_HUMAN	PCDH7	1069
O60245	542	629	540	630	PF00028	Cadherin	Family	3	92	93	72.7	1.1e-16	CL0159	PCDH7_HUMAN	PCDH7	1069
O60245	644	732	644	733	PF00028	Cadherin	Family	1	92	93	69.7	9.9e-16	CL0159	PCDH7_HUMAN	PCDH7	1069
O60245	757	839	752	840	PF00028	Cadherin	Family	9	92	93	56.7	1.1e-11	CL0159	PCDH7_HUMAN	PCDH7	1069
O60245	842	1053	842	1055	PF08374	Protocadherin	Family	1	209	212	295	1.6e-84	No_clan	PCDH7_HUMAN	PCDH7	1069
P61296	100	151	100	152	PF00010	HLH	Domain	1	54	55	66.1	9e-15	No_clan	HAND2_HUMAN	HAND2	217
Q8TAD4	420	649	419	649	PF01545	Cation_efflux	Family	2	199	199	163.7	2e-44	No_clan	ZNT5_HUMAN	SLC30A5	765
P09455	7	133	6	134	PF00061	Lipocalin	Domain	2	143	144	66.6	1.2e-14	CL0116	RET1_HUMAN	RBP1	135
Q6E213	39	332	38	333	PF03982	DAGAT	Family	2	296	297	350.5	2.5e-101	CL0228	AWAT2_HUMAN	AWAT2	333
Q15645	175	320	175	321	PF00004	AAA	Family	1	131	132	110.4	3.7e-28	CL0023	PCH2_HUMAN	TRIP13	432
O00444	13	265	12	265	PF00069	Pkinase	Domain	2	262	262	239.2	2.2e-67	CL0016	PLK4_HUMAN	PLK4	970
O00444	897	955	894	955	PF00659	POLO_box	Family	5	60	60	32.6	3e-04	No_clan	PLK4_HUMAN	PLK4	970
O43324	67	147	64	159	PF14497	GST_C_3	Domain	4	106	110	31.5	0.0011	CL0497	MCA3_HUMAN	EEF1E1	174
Q7Z494	942	1016	940	1017	PF13424	TPR_12	Repeat	4	78	79	59.5	1.4e-12	CL0020	NPHP3_HUMAN	NPHP3	1330
Q7Z494	1004	1058	1003	1059	PF13424	TPR_12	Repeat	24	78	79	34.8	7.1e-05	CL0020	NPHP3_HUMAN	NPHP3	1330
Q7Z494	1075	1124	1073	1125	PF13424	TPR_12	Repeat	29	78	79	34.7	7.2e-05	CL0020	NPHP3_HUMAN	NPHP3	1330
Q7Z494	1090	1166	1089	1167	PF13424	TPR_12	Repeat	2	78	79	74.6	2.6e-17	CL0020	NPHP3_HUMAN	NPHP3	1330
Q7Z494	1131	1209	1131	1209	PF13424	TPR_12	Repeat	1	79	79	74	4e-17	CL0020	NPHP3_HUMAN	NPHP3	1330
Q7Z494	1174	1251	1173	1251	PF13424	TPR_12	Repeat	2	79	79	71.2	3.1e-16	CL0020	NPHP3_HUMAN	NPHP3	1330
Q7Z494	1215	1292	1215	1293	PF13424	TPR_12	Repeat	1	78	79	65.7	1.6e-14	CL0020	NPHP3_HUMAN	NPHP3	1330
O43497	80	405	80	406	PF00520	Ion_trans	Family	1	241	242	256.2	1e-72	CL0030	CAC1G_HUMAN	CACNA1G	2377
O43497	743	969	742	975	PF00520	Ion_trans	Family	2	236	242	191.4	6.5e-53	CL0030	CAC1G_HUMAN	CACNA1G	2377
O43497	1275	1547	1275	1548	PF00520	Ion_trans	Family	1	241	242	207.5	7.6e-58	CL0030	CAC1G_HUMAN	CACNA1G	2377
O43497	1611	1861	1610	1862	PF00520	Ion_trans	Family	2	241	242	190.8	1e-52	CL0030	CAC1G_HUMAN	CACNA1G	2377
Q86XE3	234	262	226	263	PF13833	EF-hand_8	Domain	26	53	55	18.7	5.3	CL0220	MICU3_HUMAN	MICU3	530
Q86XE3	451	502	449	502	PF13833	EF-hand_8	Domain	3	55	55	37.4	7.5e-06	CL0220	MICU3_HUMAN	MICU3	530
Q8N145	67	124	64	124	PF13855	LRR_8	Repeat	4	61	61	42.1	2.4e-07	CL0022	LGI3_HUMAN	LGI3	548
Q8N145	112	172	112	172	PF13855	LRR_8	Repeat	1	61	61	48	3.5e-09	CL0022	LGI3_HUMAN	LGI3	548
Q8N145	222	263	222	263	PF03736	EPTP	Repeat	1	44	44	35	4.7e-05	No_clan	LGI3_HUMAN	LGI3	548
Q8N145	270	309	268	309	PF03736	EPTP	Repeat	3	44	44	36.5	1.6e-05	No_clan	LGI3_HUMAN	LGI3	548
Q8N145	314	359	314	360	PF03736	EPTP	Repeat	1	43	44	43.4	1.1e-07	No_clan	LGI3_HUMAN	LGI3	548
Q8N145	363	405	363	405	PF03736	EPTP	Repeat	1	44	44	27	0.015	No_clan	LGI3_HUMAN	LGI3	548
Q8N145	414	452	410	452	PF03736	EPTP	Repeat	5	44	44	34.7	5.6e-05	No_clan	LGI3_HUMAN	LGI3	548
Q8N145	455	496	455	496	PF03736	EPTP	Repeat	1	44	44	36.9	1.2e-05	No_clan	LGI3_HUMAN	LGI3	548
Q8N145	501	540	501	541	PF03736	EPTP	Repeat	1	42	44	21	1.1	No_clan	LGI3_HUMAN	LGI3	548
Q15006	99	161	98	161	PF14559	TPR_19	Domain	3	64	68	30.8	0.0013	CL0020	EMC2_HUMAN	EMC2	297
Q15006	133	190	131	199	PF14559	TPR_19	Domain	3	60	68	25.6	0.06	CL0020	EMC2_HUMAN	EMC2	297
Q9NP95	65	191	65	191	PF00167	FGF	Domain	1	125	125	159.5	1.7e-43	CL0066	FGF20_HUMAN	FGF20	211
Q8IX03	8	37	8	37	PF00397	WW	Domain	1	31	31	40.3	9.4e-07	No_clan	KIBRA_HUMAN	WWC1	1113
Q8IX03	55	84	55	84	PF00397	WW	Domain	1	31	31	30.3	0.0013	No_clan	KIBRA_HUMAN	WWC1	1113
H0YAV1	98	365	98	365	PF00268	Ribonuc_red_sm	Domain	1	274	274	399.6	3.2e-116	CL0044	H0YAV1_HUMAN	RRM2B	408
H0YAV5	73	136	66	136	PF09696	Ctf8	Family	68	142	142	29.6	0.0032	No_clan	H0YAV5_HUMAN	CHTF8	144
O75762	97	128	97	129	PF00023	Ank	Repeat	1	28	29	29.6	0.0029	CL0465	TRPA1_HUMAN	TRPA1	1119
O75762	412	440	412	442	PF00023	Ank	Repeat	1	27	29	20.1	2.9	CL0465	TRPA1_HUMAN	TRPA1	1119
O75762	481	506	481	511	PF00023	Ank	Repeat	1	22	29	24.1	0.16	CL0465	TRPA1_HUMAN	TRPA1	1119
O75762	547	574	547	579	PF00023	Ank	Repeat	1	24	29	20.7	2	CL0465	TRPA1_HUMAN	TRPA1	1119
O75762	754	971	723	972	PF00520	Ion_trans	Family	29	241	242	48.4	3e-09	CL0030	TRPA1_HUMAN	TRPA1	1119
Q8NFW1	38	210	38	212	PF00092	VWA	Domain	1	173	175	157.6	1.5e-42	CL0128	COMA1_HUMAN	COL22A1	1626
Q8NFW1	539	596	522	600	PF01391	Collagen	Repeat	1	58	60	28.2	0.0051	No_clan	COMA1_HUMAN	COL22A1	1626
Q8NFW1	566	624	562	630	PF01391	Collagen	Repeat	1	59	60	34.2	7e-05	No_clan	COMA1_HUMAN	COL22A1	1626
Q8NFW1	714	772	695	773	PF01391	Collagen	Repeat	1	59	60	27.9	0.0063	No_clan	COMA1_HUMAN	COL22A1	1626
Q8NFW1	750	807	744	813	PF01391	Collagen	Repeat	1	58	60	31.4	0.00053	No_clan	COMA1_HUMAN	COL22A1	1626
Q8NFW1	798	853	798	856	PF01391	Collagen	Repeat	1	56	60	33.8	9.4e-05	No_clan	COMA1_HUMAN	COL22A1	1626
Q8NFW1	865	920	861	926	PF01391	Collagen	Repeat	4	59	60	34.9	4.1e-05	No_clan	COMA1_HUMAN	COL22A1	1626
Q8NFW1	1045	1096	1043	1100	PF01391	Collagen	Repeat	4	55	60	32.2	0.00029	No_clan	COMA1_HUMAN	COL22A1	1626
Q8NFW1	1118	1174	1116	1174	PF01391	Collagen	Repeat	2	58	60	34.8	4.5e-05	No_clan	COMA1_HUMAN	COL22A1	1626
Q8NFW1	1159	1214	1156	1226	PF01391	Collagen	Repeat	4	59	60	30.3	0.0012	No_clan	COMA1_HUMAN	COL22A1	1626
Q8NFW1	1249	1307	1249	1317	PF01391	Collagen	Repeat	1	59	60	31	0.00071	No_clan	COMA1_HUMAN	COL22A1	1626
Q8NFW1	1300	1357	1297	1364	PF01391	Collagen	Repeat	1	58	60	32.1	0.00032	No_clan	COMA1_HUMAN	COL22A1	1626
Q8NFW1	1402	1457	1401	1461	PF01391	Collagen	Repeat	4	59	60	32.6	0.00022	No_clan	COMA1_HUMAN	COL22A1	1626
Q8NFW1	1496	1551	1494	1553	PF01391	Collagen	Repeat	3	58	60	29	0.003	No_clan	COMA1_HUMAN	COL22A1	1626
P16157	78	107	77	109	PF00023	Ank	Repeat	2	27	29	26.5	0.027	CL0465	ANK1_HUMAN	ANK1	1881
P16157	111	139	110	142	PF00023	Ank	Repeat	2	26	29	20.1	2.9	CL0465	ANK1_HUMAN	ANK1	1881
P16157	206	233	205	235	PF00023	Ank	Repeat	2	25	29	23.4	0.27	CL0465	ANK1_HUMAN	ANK1	1881
P16157	238	266	238	270	PF00023	Ank	Repeat	1	25	29	22.3	0.59	CL0465	ANK1_HUMAN	ANK1	1881
P16157	271	303	271	303	PF00023	Ank	Repeat	1	29	29	20.1	3.1	CL0465	ANK1_HUMAN	ANK1	1881
P16157	339	366	337	368	PF00023	Ank	Repeat	3	26	29	17.2	25	CL0465	ANK1_HUMAN	ANK1	1881
P16157	370	401	370	402	PF00023	Ank	Repeat	1	28	29	27.1	0.018	CL0465	ANK1_HUMAN	ANK1	1881
P16157	404	434	403	435	PF00023	Ank	Repeat	2	28	29	21.9	0.81	CL0465	ANK1_HUMAN	ANK1	1881
P16157	439	466	438	468	PF00023	Ank	Repeat	4	27	29	16.7	35	CL0465	ANK1_HUMAN	ANK1	1881
P16157	470	499	469	501	PF00023	Ank	Repeat	2	27	29	24	0.17	CL0465	ANK1_HUMAN	ANK1	1881
P16157	536	564	535	567	PF00023	Ank	Repeat	2	26	29	22.6	0.48	CL0465	ANK1_HUMAN	ANK1	1881
P16157	568	595	568	598	PF00023	Ank	Repeat	1	24	29	18.1	13	CL0465	ANK1_HUMAN	ANK1	1881
P16157	601	629	601	633	PF00023	Ank	Repeat	1	23	29	17.8	16	CL0465	ANK1_HUMAN	ANK1	1881
P16157	635	660	634	666	PF00023	Ank	Repeat	2	23	29	17.7	17	CL0465	ANK1_HUMAN	ANK1	1881
P16157	700	732	700	732	PF00023	Ank	Repeat	1	29	29	29.1	0.0041	CL0465	ANK1_HUMAN	ANK1	1881
P16157	734	763	733	765	PF00023	Ank	Repeat	2	27	29	19.2	5.6	CL0465	ANK1_HUMAN	ANK1	1881
P16157	913	1011	913	1012	PF00791	ZU5	Family	1	98	99	94.4	1.9e-23	No_clan	ANK1_HUMAN	ANK1	1881
P16157	1407	1484	1404	1487	PF00531	Death	Domain	4	80	83	74.1	3.1e-17	CL0041	ANK1_HUMAN	ANK1	1881
Q8N412	63	81	62	99	PF07004	SHIPPO-rpt	Repeat	2	21	31	13.1	630	No_clan	STPG2_HUMAN	STPG2	459
Q8N412	157	203	157	206	PF07004	SHIPPO-rpt	Repeat	1	29	31	21.6	1.3	No_clan	STPG2_HUMAN	STPG2	459
Q66K14	143	208	142	209	PF02893	GRAM	Domain	2	68	69	67.5	2.7e-15	CL0266	TBC9B_HUMAN	TBC1D9B	1250
Q66K14	290	354	288	356	PF02893	GRAM	Domain	3	67	69	50.7	5e-10	CL0266	TBC9B_HUMAN	TBC1D9B	1250
Q66K14	512	715	511	715	PF00566	RabGAP-TBC	Family	2	215	215	162.2	5.8e-44	No_clan	TBC9B_HUMAN	TBC1D9B	1250
P0C7M8	118	210	117	210	PF00059	Lectin_C	Domain	2	109	109	49.4	2.9e-09	CL0056	CLC2L_HUMAN	CLEC2L	214
Q96DY7	1	269	1	270	PF14918	MTBP_N	Family	1	252	253	393.4	1.9e-114	No_clan	MTBP_HUMAN	MTBP	904
Q96DY7	294	632	294	632	PF14919	MTBP_mid	Family	1	341	341	544.9	3.2e-160	No_clan	MTBP_HUMAN	MTBP	904
Q96DY7	636	894	636	894	PF14920	MTBP_C	Family	1	255	255	416.3	2.4e-121	No_clan	MTBP_HUMAN	MTBP	904
Q2WGN9	40	151	40	152	PF00169	PH	Domain	1	105	106	75.2	2.2e-17	CL0266	GAB4_HUMAN	GAB4	574
H0YB34	33	139	27	140	PF01042	Ribonuc_L-PSP	Domain	12	120	121	129.7	2.4e-34	CL0534	H0YB34_HUMAN	RIDA	148
Q99614	123	149	119	149	PF00515	TPR_1	Repeat	8	34	34	21.9	0.48	CL0020	TTC1_HUMAN	TTC1	292
Q99614	158	188	155	188	PF00515	TPR_1	Repeat	4	34	34	28.4	0.0042	CL0020	TTC1_HUMAN	TTC1	292
Q99614	191	221	189	222	PF00515	TPR_1	Repeat	3	33	34	21.7	0.56	CL0020	TTC1_HUMAN	TTC1	292
Q9NX62	62	351	62	355	PF00459	Inositol_P	Family	1	268	272	132.2	1.1e-34	CL0171	IMPA3_HUMAN	IMPAD1	359
O94804	37	294	36	294	PF00069	Pkinase	Domain	2	262	262	214.7	6.5e-60	CL0016	STK10_HUMAN	STK10	968
O94804	587	725	587	725	PF12474	PKK	Family	1	139	139	124.3	1.6e-32	No_clan	STK10_HUMAN	STK10	968
O94804	755	895	755	895	PF12474	PKK	Family	1	139	139	119.6	4.6e-31	No_clan	STK10_HUMAN	STK10	968
X6REH9	47	180	47	187	PF00179	UQ_con	Domain	1	131	140	116.1	4.1e-30	CL0208	X6REH9_HUMAN	UBE2W	191
Q9Y666	123	295	123	320	PF00324	AA_permease	Family	1	157	479	77.1	4.7e-18	CL0062	S12A7_HUMAN	SLC12A7	1083
Q9Y666	419	695	411	696	PF00324	AA_permease	Family	200	478	479	130.2	3.7e-34	CL0062	S12A7_HUMAN	SLC12A7	1083
Q9Y666	709	827	708	833	PF03522	SLC12	Family	2	117	413	56.6	1e-11	No_clan	S12A7_HUMAN	SLC12A7	1083
Q9Y666	829	1083	814	1083	PF03522	SLC12	Family	213	413	413	106.7	6.3e-27	No_clan	S12A7_HUMAN	SLC12A7	1083
Q56NI9	374	412	374	413	PF13878	zf-C2H2_3	Domain	1	39	40	56.3	9.4e-12	CL0361	ESCO2_HUMAN	ESCO2	601
Q56NI9	529	597	529	597	PF13880	Acetyltransf_13	Domain	1	69	69	97.3	1.7e-24	CL0257	ESCO2_HUMAN	ESCO2	601
Q8TC41	340	396	327	396	PF01485	IBR	Domain	15	62	62	35.4	4.1e-05	CL0229	RN217_HUMAN	RNF217	542
Q8TC41	411	456	403	461	PF01485	IBR	Domain	10	56	62	33.7	0.00014	CL0229	RN217_HUMAN	RNF217	542
Q9H0M0	19	106	18	118	PF00168	C2	Domain	2	91	103	52.3	2.5e-10	CL0154	WWP1_HUMAN	WWP1	922
Q9H0M0	351	380	351	380	PF00397	WW	Domain	1	31	31	49.9	9.4e-10	No_clan	WWP1_HUMAN	WWP1	922
Q9H0M0	383	412	383	412	PF00397	WW	Domain	1	31	31	45	3.4e-08	No_clan	WWP1_HUMAN	WWP1	922
Q9H0M0	458	487	458	487	PF00397	WW	Domain	1	31	31	50.2	8.1e-10	No_clan	WWP1_HUMAN	WWP1	922
Q9H0M0	498	527	498	527	PF00397	WW	Domain	1	31	31	32	0.00038	No_clan	WWP1_HUMAN	WWP1	922
Q9H0M0	618	920	617	922	PF00632	HECT	Domain	2	296	298	318.4	2.4e-91	CL0552	WWP1_HUMAN	WWP1	922
Q05707	32	109	31	111	PF00041	fn3	Domain	2	83	85	52.5	2.1e-10	CL0159	COEA1_HUMAN	COL14A1	1796
Q05707	158	327	158	329	PF00092	VWA	Domain	1	173	175	178.7	5.3e-49	CL0128	COEA1_HUMAN	COL14A1	1796
Q05707	355	430	354	433	PF00041	fn3	Domain	2	81	85	42.8	2.3e-07	CL0159	COEA1_HUMAN	COL14A1	1796
Q05707	450	520	444	525	PF00041	fn3	Domain	7	79	85	34.9	6.7e-05	CL0159	COEA1_HUMAN	COL14A1	1796
Q05707	536	613	536	614	PF00041	fn3	Domain	1	83	85	56.4	1.3e-11	CL0159	COEA1_HUMAN	COL14A1	1796
Q05707	628	700	625	704	PF00041	fn3	Domain	4	80	85	30.5	0.0015	CL0159	COEA1_HUMAN	COL14A1	1796
Q05707	738	817	736	819	PF00041	fn3	Domain	3	82	85	36.7	1.7e-05	CL0159	COEA1_HUMAN	COL14A1	1796
Q05707	831	907	830	910	PF00041	fn3	Domain	2	81	85	47.9	5.7e-09	CL0159	COEA1_HUMAN	COL14A1	1796
Q05707	922	993	921	998	PF00041	fn3	Domain	3	79	85	30	0.0022	CL0159	COEA1_HUMAN	COL14A1	1796
Q05707	1032	1203	1032	1204	PF00092	VWA	Domain	1	174	175	178.5	6.1e-49	CL0128	COEA1_HUMAN	COL14A1	1796
Q05707	1462	1510	1460	1514	PF01391	Collagen	Repeat	4	52	60	28.1	0.0057	No_clan	COEA1_HUMAN	COL14A1	1796
Q05707	1514	1570	1512	1570	PF01391	Collagen	Repeat	3	59	60	31.5	0.00048	No_clan	COEA1_HUMAN	COL14A1	1796
Q05707	1554	1609	1554	1614	PF01391	Collagen	Repeat	1	56	60	33.4	0.00013	No_clan	COEA1_HUMAN	COL14A1	1796
Q05707	1653	1705	1651	1707	PF01391	Collagen	Repeat	6	58	60	32.8	0.00019	No_clan	COEA1_HUMAN	COL14A1	1796
O60238	29	218	15	218	PF06553	BNIP3	Family	9	195	195	284.1	2.3e-81	No_clan	BNI3L_HUMAN	BNIP3L	219
